State_Name,District_Name,Court_Efficiency_Index_PCA,Total_Population,Pending cases,Cases_per_Capita,Judicial_Efficiency_Index_per_Capita
UTTAR PRADESH,Etah,0.567801365,1774480,80468,0.0453473693701816,0.0257482982275483
UTTAR PRADESH,Muzaffarnagar,0.497911539,4143512,147394,0.0355722392019137,0.017711828366701
UTTAR PRADESH,Varanasi,0.730433942,3676841,485208,0.1319632804355695,0.0963904591278045
UTTAR PRADESH,Ghazipur,0.53975398,3620268,167658,0.0463109360964436,0.0249965120755811
UTTAR PRADESH,Firozabad,0.508585323,2498156,156615,0.0626922417975498,0.031884354044201
UTTAR PRADESH,Agra,0.681462681,4418797,419721,0.0949853546112211,0.0647289744090984
UTTAR PRADESH,Pratapgarh,0.581794862,3209141,195459,0.060906952982122,0.0354353523050741
UTTAR PRADESH,Etawah,0.547528535,1581810,67445,0.0426378642188379,0.0233454473312692
UTTAR PRADESH,Kushinagar,0.514590676,3564544,184211,0.051678699996409,0.0265933771659533
UTTAR PRADESH,Bara Banki,0.552789995,3260699,134733,0.0413202813261819,0.0228414381076986
UTTAR PRADESH,Kaushambi,0.534596175,1599596,69520,0.0434609738959087,0.0232340704065276
UTTAR PRADESH,Mahoba,0.708968421,875958,43695,0.0498825286143856,0.0353651375472282
UTTAR PRADESH,Banda,0.593565144,1799410,68952,0.0383192268576922,0.0227449574077547
UTTAR PRADESH,Deoria,0.461401604,3100946,172254,0.0555488550913172,0.0256303308394973
UTTAR PRADESH,Mau,0.496807963,2205968,111523,0.0505551304461352,0.0251161913761437
UTTAR PRADESH,Aligarh,0.521666109,3673889,188190,0.0512236488364237,0.0267216415772795
UTTAR PRADESH,Azamgarh,0.645853839,4613913,198253,0.0429685171783689,0.027751381775787
UTTAR PRADESH,Baghpat,0.601852564,1303048,57939,0.0444642100674725,0.0267608988353429
UTTAR PRADESH,Basti,0.46622328,2464464,115126,0.0467144174149023,0.0217793489104649
UTTAR PRADESH,Bijnor,0.644291914,3682713,188111,0.0510794623420288,0.0329100845584366
UTTAR PRADESH,Gonda,0.577859717,3433919,189326,0.0551340902333456,0.0318597697792935
UTTAR PRADESH,Kanpur Dehat,0.62170548,1796184,161787,0.0900726206223861,0.0559986418388984
UTTAR PRADESH,Mahrajganj,0.506667908,2684703,108499,0.0404137813381964,0.0204763660449934
UTTAR PRADESH,Mathura,0.611633751,2547184,172858,0.0678623923517107,0.0415069295859105
UTTAR PRADESH,Moradabad,0.658901624,4772006,164218,0.034412781543024,0.0226746376450557
UTTAR PRADESH,Rae Bareli,0.551171812,3405559,171568,0.0503788071209454,0.02776737840725
UTTAR PRADESH,Rampur,0.565583565,2335819,85530,0.0366167070308101,0.0207098077010461
UTTAR PRADESH,Saharanpur,0.658274399,3466382,250221,0.072185062119524,0.0475175783835073
UTTAR PRADESH,Shahjahanpur,0.6361804,3006538,172949,0.057524302037759,0.0365958334801023
UTTAR PRADESH,Siddharthnagar,0.48606821,2559297,102843,0.0401840818005882,0.0195322047113054
